2018-04-28 09:46:29	3c4dc52449e84c7ca05409a3b32084fd:FqvWCwDnwBZHAI3Ea7DcT2GnMhs9XlxB	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.140.55.235
2018-04-28 09:50:02	a55d29bf4328634b14c13d70c571b238:1g9R6ts51YZCsUhYyFn3iJJr7zTGe4xj	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.140.55.235
2018-04-28 09:50:28	cc615f9b2b9718184705323149d910f9:lQRF1rhPVUwOOE209qW7CLENN0VRqAfg	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	117.19.193.30
2018-04-28 09:52:35	e08ce162498db7f1ce388ed39afd59b4:vWfRyL0xq6twid82VRD17Zx0StYouRQh	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	117.19.193.30
2018-04-28 09:52:37	a9dac85247ca1a07602d40d762860d00:TEKqsnVY6BJlvJDabPeUfjZhKh0pRMwo	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.140.55.235
2018-04-28 09:55:00	199d92bb55b8332fae290dc4857e30ba:uDPpgy0BY58nXGV8tLkR179baQvvuCKc	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	59.115.54.219
2018-04-28 09:55:45	a429c042f43888b645dbeb7d50a6ceef:aT3WW99zYkAf9dPX9J7wKUnqGkTJokLC	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.140.55.235
2018-04-28 09:57:06	7cf7e98874dce0bbe765dfd2a988fb90:Z5gvQmUSMn3OBY2yuaNblvvFt0i8Qldn	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	117.19.193.30
2018-04-28 09:59:08	9774e552fff67056c75a54a67bd83dc0:8S64UeMxqV1FDOdlO5Y3gEHkbudwY6oH	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.140.55.235
2018-04-28 10:00:15	a67745fb558df6cd29b4621cca277324:C2PXkSQljE4ENKAMXTF3BzIjx81Fdg3y	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.140.55.235
2018-04-28 10:02:27	95e9fb58a3c7509d087895ae86b6b3f0:8RZvbgHpjACh2zJlTYsEOh9OPFizK45j	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	117.19.193.30
2018-04-28 10:02:57	44a95467930571776ebdeff622154189:V6TGPvYdNdrdMl51dmCeqrDHS5JstXfD	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.140.55.235
2018-04-28 10:05:28	7a84d747a79fd295ed77433dcdac903f:kXDb7mswPwSVmsdHHz4vdS7jAjW8jsKp	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	61.230.22.69
2018-04-28 10:06:10	1d9cede57a950f593b6d1109659a6275:MlobPGg7K1obXHttwm53UmBG0dEB1Hv7	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	117.19.193.30
2018-04-28 10:07:22	21b704b939178ca4a19ebeb8027fa9f1:rLLUutelYwzjNJsCVMXNIRZ1bZXQFU67	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	117.19.193.30
2018-04-28 10:08:11	ee16948736ad3f265f1fb1f693c36242:14rkX2JyYTEXUBzZAW5zxxOc68bdvIiR	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.140.55.235
2018-04-28 10:11:54	3ef2592057cbf56ef0b37dcf4c14d3c6:M5hIpnCJlvbFLimbK0vp3kUqyuycfUoC	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	117.19.193.30
2018-04-28 10:12:00	06fe4d5f9d3ef095ac73c9d1db551eac:5FNPZSMLx9ziqWGja35EkyBR08mKeIlN	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	223.140.55.235
2018-04-28 10:16:15	e3e89e3b4ec2343453704d4f978d8368:zKHneQAoF9xg1K4SZNme6jmeIpGdmDFa	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	223.140.55.235
2018-04-28 10:18:50	006cb24e7e1fe0d9da79ec42c8f22091:aOv9kdCvQQT824KHxGlGrzkvqF69Rosx	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.140.55.235
2018-04-28 10:20:02	c6d196dad651a5628daf50306cb00d7e:YK5tBcCYiYynLpfjWGKamETQwxQa9lvG	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	117.19.193.30
2018-04-28 10:20:13	95d3131c75a5f56d7ceb037a38e63d34:EBdipnGHJNcL2Beuomqq9EiM9AdpEhrv	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	111.240.179.151
2018-04-28 10:22:56	72177c5dc2ca229293b416e5122d10f1:x0AUEHMG2aELLdoM2kL9dvhmUkVYOGjA	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	117.19.193.30
2018-04-28 10:26:50	ed52a6fb0462d8e84a907e9ee09c07af:lCEAeyMVFGpok0zvnxNsmPNR8mdFQJU4	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.140.55.235
2018-04-28 10:29:20	aa2ae954f471dcd2b8791acfeaa78ac9:OY3svm8GpB6elaxGZDEILaHFyVS3Klmw	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.140.55.235
2018-04-28 10:30:31	f110d73a018da1a8309b2bb25e4f676f:U6QOmTbzBstlRzPQtAd7Ad3fkr1c8RzP	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	117.19.193.30
2018-04-28 10:32:45	ed0b1ab7dc9f3d23683ea487ee6f15d6:EluApAyrvLkxcPeqn05QoFTadGbW8H4W	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.140.55.235
2018-04-28 10:33:37	d9e233089f848dbf0303b187456114a8:ArlWa3bHYYDcuGvv63xMjg4QhGJcy1ka	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	117.19.193.30
2018-04-28 10:36:01	59ab2d8c587d50a679fcb69668580afd:GPFMwntUxEQHr15EmLM1fITtUqRqudZo	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.140.55.235
2018-04-28 10:37:13	c2b9355f0979383a024513c8330db5c0:UuxqathwqfeYC8A7ipeBGKlmM1RAxgGE	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	117.19.193.30
2018-04-28 10:40:17	689d0e96596bc1e71f11c2c63ebe4722:GqOwRp468m2Ly8Ths0aaXMRCoy9s6vlA	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	117.19.193.30
2018-04-28 10:41:33	b87e0cf6771778de5929575db6efdaae:8faxhgkrjkgIY0DJiXV0iqDi30T8zDvY	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	223.140.55.235
2018-04-28 10:44:37	822116497cf8ef2a288c20386c6fd857:g1CltffcmsrQh8DuXNSh7HKh3m3iBkbX	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.140.55.235
2018-04-28 10:45:04	12e37969bba5b1f4549dd03e18ff83cd:qY8bZH8VU1b83chJk6s9GgPO42xknzCC	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	117.19.193.30
2018-04-28 10:45:14	3ae45c9e0166501cbf3ba5f36a805666:M0HjkMIPzeg3dEHsxr2uTHEafHGnIDb4	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	1.167.48.77
2018-04-28 10:46:19	0b9a41b7e1dc0af5bb8c987ce15a43bc:XWgoCIzCMfheQh1xXB0IjZ9y7NfHKO2f	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.140.55.235
2018-04-28 10:49:36	27ff8ea31370f6f717dffa0edfee02e0:iqM8891oR34ENjALKuuEYVsZlwKYOmQZ	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.140.55.235
2018-04-28 10:51:40	b34e602b93c46ed997c93571bacba0cf:bMN3njdlQGSfyyxogxHZAfhWUQTDVHRx	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	1.200.195.240
2018-04-28 10:54:54	30bf840fffd4faa7e0f049d2cff056d2:22puz7bvIwqqf8ZDDX7dn4Lr9zn1RxRV	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	117.19.193.30
2018-04-28 10:55:46	7d9f2e805be5d18dc30a507e8398801a:ROI3gaavvQ9ktO3C1ObQGNjpK4sziEz3	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.140.55.235
2018-04-28 10:58:06	d69bd39648d4eebd165eb8973718700f:Gg9addWS0xL5WVyPDiXwEAQ4Cf4lwCce	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	117.19.193.30
2018-04-28 10:59:47	bbc73a45d1294714bcb58968031a2188:R8V1BVuFKKiPKaKZotyC5HxoWBoSphb3	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.140.55.235
2018-04-28 11:00:21	3657f64b59941c4b323429b4690a0f3a:0Qr7YZpwo6xAhLJu3ypvTGPgUnFoua1C	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	59.115.54.219
2018-04-28 11:02:19	cc418c22c356649ec510d6359cddda91:5W1yxxD1SlAz1ajGbYcxVvVURA3av6ik	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	223.140.55.235
2018-04-28 11:05:45	43506f50c9d382a11a46b85cb0acb700:9KRvULAzpUfGJoGjjAUg1JTaFrgHJkHj	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	117.19.193.30
2018-04-28 11:07:33	4137ac542183aac851e14dac61b2800a:JrUnIifGckHEvmpVnP7Bjd6wVKllYazM	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.140.55.235
2018-04-28 11:08:25	e6eb19fe47ba70ecf8c7d89b7e5efde7:gV3XTOELuC6H3RLcMrUjQabet8bwCKis	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	42.72.124.250
2018-04-28 11:08:47	a8dae8c4a8619266a486188c7b5e2ca1:tMYcdNIBwWNniKz8u7a6KLwLSulUCHoH	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	117.19.193.30
2018-04-28 11:09:27	a1383407e092b77f93029654f836daf8:fWjxyCC82zyuPiY7m2DenUD4kzhoxWlu	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.140.55.235
2018-04-28 11:11:32	905c300ede0cc95f01a6cb4871dc15de:qDsfEf0CD4i5FHqg6ViwzJb7oO9UmoEv	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	117.19.193.30
2018-04-28 11:12:32	070c34471d183cefe01936154a1597dd:AXhWOwL6Lylep9TUZOE26q0xiWj0zD2L	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.140.55.235
2018-04-28 11:13:18	9c2f8544d6cfe0743c7eec04a0069914:EjC6yrgdOpxHYmVGpJAstyPLGytT9aB4	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	117.19.193.30
2018-04-28 11:20:06	0aa74ff96c468e6f22fc401dd7eb5ade:JGPrHHzfl40KwPRirya3DmXIDNfI5Atj	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	101.13.24.249
2018-04-28 12:09:22	e9762266f2894e37d3f9e71c9365978e:0S2OCbqGkRKwnuzQKeIplOju5rhACHAD	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	101.8.163.42
2018-04-28 13:26:40	9002ae7981172cb7be40e04c9a544e50:ZBnnsHznuL3YBgzjHC2Pq8jakelw4XpW	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	110.28.67.170
2018-04-28 13:56:01	db5f713df5396574077f0cb601b9f327:xLZ5Fs8GZXs3TjzQT3lv4JUrsuQgojic	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	36.225.160.118
2018-04-28 16:30:41	5e6acca35df163be8505de44010ad3f7:pG5hqOWnrxTj19dQaarEVx0F5BPQQzsh	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	114.45.83.88
2018-04-28 17:30:06	dd6654b1cad09ced8058f98466e721bd:R7S4rrA5yEcbdUZV18TUeP98GEXgeNeR	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-28 17:32:07	d45643486d88330e1b441030a92bcb2f:IaLISNdQvbfV3a2FXbT8TiVwFUEw38zn	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-28 17:33:36	d19d4df61b710dd479dc418c09c39827:luNoZmuY4U3kR4XcCApidFhaP9xQbKAO	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-28 17:35:25	39499788b95287b32627135ac28189fa:P0C1k8pgNRcifvNUyg8AruG9bEbTsgsy	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-28 17:37:22	1aea33fcc1bf4c9c104edcc7dd2e6f1d:OfnJI8hMGP5LNKZFjV80HCRWt32rjWB8	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-28 17:38:23	c7345fee5a9bd216e26a2f8b5b88fb3f:Dkkzlxw1cAMGTTKT795AzzDOL3R39xYf	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	101.14.246.66
2018-04-28 17:38:42	d486b031b9be4c507ed41899cae636df:wSEGnN8k3GwaMUOF2fEtFOgnAMP5I2sA	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-28 17:40:36	1b3b690f02b930db774a69f5540c0b50:nE31DLYoLtGkhUw4qArqzhbC0ZQUcVAv	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-28 17:41:06	112f286a1097a1a9fccc6b20db78fe36:1VQNUq4QZ3taoAaXVC3sEimME97rgGLy	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	101.14.246.66
2018-04-28 17:41:51	97eccdcec57f6183b5e33648463d5b3e:PyUzxUTBjphXQJU6BCaDRDBhNJ8siQCC	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-28 17:51:16	3d6b7bf289809c6a82509b7d2737e147:9HxByABYJgA3Glo0vGy8Fj8sBIVmcdpD	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-28 17:52:34	651932cc7a31eaf980691beab6c75998:B59EAhw0KB3Y81U8JhtJKBaiFFNvRJcK	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-28 18:33:46	6b13b8562e8056141c8f0e7d8e218071:b2pbYvSlHxQ7OfGH9dUotCojrx9xefnC	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-28 18:35:49	36632e0b5ad3be65b5e8a870152cf5bb:V4qKK5O7xxJInSglE4ErtKLCLIheHq5s	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	101.14.246.66
2018-04-28 18:38:49	5a5de8d8e87e5383cf3024b7ef895618:IvIQjkxTvk1ZqyWnJv2AJw9XPUFFsdCI	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	101.14.246.66
2018-04-28 19:03:11	bac405c99d136e66b24de3299e2a9e45:f9pmekEaoI1hlI8xQLxAw8bh5uJrBcBS	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-28 19:05:02	9d3d247b4c32cc3eafa9defa7f27c6ef:Ft4kwN4tgQsmcAXBt20jlBneuu6jJQrJ	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-28 19:06:24	cff376be07bbdfaa9222542a50e1d6a0:6dDlPbas86E3H15QWDxRjimwvTiMSxOP	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-28 19:07:55	a6f0df61ff5a00fab60b7e3c4ab4a842:zsqqu55LtjOtpwkN7rtQaXfAxYHK8Elb	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-28 19:09:11	91c4512fe13eb8fe76ee8abfcbc73f89:gmESKuvQSF6lcfg7bPTarYfUzIOGikrx	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
