2018-04-25 02:12:39	d79f8b38d5bf0fb441c453c69c04bd4e:OOd136FYzY4IjecqZQXmIrEXFt683XdF	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 02:13:22	9e11a0831d3f21f0c8919d185aa20679:MP7cR6Wq6sgjrVfmu2gdeTWAp2cvuCdb	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 02:14:04	a8dc08e2db7cc3fdd0282e79b4cdadac:2adCriY6R0vILcDaHMvfjKyvkUhADeoH	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	118.160.88.26
2018-04-25 02:14:10	87cd0b29fa2d795ab547f6185d66db72:M9QAD1GZqJIwVCljKYkY3OlUtv84ZFyn	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 02:14:55	bac01e13eb73d9acea8e1f76c01c6dfb:G0Y9SWxCVeowZrDKLI8IygrgiRWZKItZ	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 02:15:50	1a9a5b1493ebcda0d15e8251cd349e8b:v6XnPunjydhbUkgzLpp5ZFivtjkfq2i1	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	101.15.192.186
2018-04-25 02:28:33	bee0be731ae64b134e8387a15ba87489:vT142djrcgsp9fQKlp9cvxmdgTkPKJqn	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 02:44:19	83c77358640b66cee3ca794180cd4172:byC5N5GJunKX3VMVeI4bFqw5NIHPjvea	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	178.203.233.93
2018-04-25 04:06:15	e6abeb3fbb66512209dbbbb886b15902:8IBqSo6ZTluZqhPcSgCp3aEm6HtaxxMH	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	36.225.148.94
2018-04-25 07:56:12	61afe954d01736284d57ae04ab2ccff7:PNYQfA5aAidLAggygIuzytY7pD055ewK	Q1:人化交通，樂活中正	,住好住滿	,;	223.140.104.30
2018-04-25 07:58:20	e788e77c00807dc2b874c847028e142d:IMdoQrUp2EN9TAlJI1nZzYHPe9SZbgRK	Q1:人化交通，樂活中正	,住好住滿	,;	223.140.104.30
2018-04-25 08:00:31	5abca09bda406371dc97456f2fc219e4:NefyF3XTTYCDvC7Tn0QWP1hFTHAlXAdh	Q1:人化交通，樂活中正	,住好住滿	,;	223.140.104.30
