2018-04-27 10:37:21	91d9a6c9c41b42cd8a91d43e92205c95:UhUsQUNGPoSDZF6aq2oq0yEsX5gjGHmf	Q1:北投區環境資訊2.0	,;	172.28.65.164
2018-04-27 10:37:57	64fbdc7d53e4483017c04220f2ce83da:QFIs81vd5nbZAHS6Q3779k5SIaT1XUcd	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-27 10:38:13	09148c3e4f7eefd2c8b2a94783ab9b9e:wdEKZ0g9QrBfIy3iGXjzDF1bCRtt1MCS	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.169
2018-04-27 10:38:29	049f11d8d5bed29c4d4c7727e50b9229:I3rVYvciO3yW4B4kzUKYXmNVtE6jhC7d	Q1:北投區環境資訊2.0	,;	172.28.65.164
2018-04-27 10:38:55	60582f7888d2cc7dbc2d04bdaf3ac91f:iicic2mMIkY2n5siUNnwspi36u4Ie4Dk	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-27 10:39:02	95614fa8c24bb6f9804d4adca45373c6:MiCeWYmURxt4NI2CGG2Vm7V0OGgCR85H	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.169
2018-04-27 10:39:33	bd328b5db51189d899e4fb4188c9d682:vvvfCbn40DlxkOHpwdrug4AtDLG1OMd8	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-27 10:39:45	215c18ef6f64d4f7b83a7ce91b98b383:Jv0SgfFbOzeD5fvBlXuaDvIqUYsHdLRN	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.169
2018-04-27 10:40:09	ef8e76a5b3daaf857461c072b6818bc9:xDeXZL8dUSdhAJKDwOGslUWvbeY5P6kN	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.164
2018-04-27 10:40:13	edf42512818a783bb71a3f14ab48acbe:0dfZbvPUeLKO5O47FW6CFUVTZAnF56Ps	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-27 10:40:24	5147b6f545a3331a9f5ec62433f67c46:2TYaGEDae39PaAvZioWNetRuCO06eitp	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.169
2018-04-27 10:40:54	98ad2838b0a146e81ebc9e744c0f96b2:mvEAU9NCZ8NYyWcKVULqAJcX28m13Khr	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-27 10:41:09	7bd0e2acecd2488b15c507303f2d1c87:VZR4K7Z4NpXpGZoIFHTJxhVoGHlC1naw	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.169
