2018-04-20 03:21:02	e6668c0b079131bff33f20b52a52ba8d:Ds7JZuQXfX6DZgI2hjZzd9sq0SWsxS2y	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:22:03	64a5adef4d448bbaf95d84b3bbb236bd:AHsw2WrVbPQMN92ozEDADAqOp4WVR89f	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:23:40	ebcc9c8d9256ed3099a35300da2b2aa2:MPZqYJucDlN8WIVoEfrjkVdIOCBbSHGn	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:23:59	ebd0095521717be901d3181dae3721e0:Uor5vAXUGjNPvtt3op9rLYqHmBVoLsnK	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:24:08	9ad36b71ecc45559b88cd064919c493e:FDU8H2gyNyne2dK8HVB379774HicNyWU	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:24:19	197fdf9de0d5e2e433d65e2c9e388a35:VGlu0Xh71wvTXjFQaRfPs2FvSPEEO31g	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:24:32	c9b73f79428c6f06409e9a4d5657d063:gTdYV24BF8C4Tq55lxrx54ilIb2DrkqM	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:28:22	8674f767efef20cdc5eb7b890f45c4f3:1aB8fIQZQUnxujQmJ3WcfPy3iHlrxQw9	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:28:41	b58b43d602d4dbbd935cf2af4f97a130:gOfZeLrkiiwHBSGwCHV18fHia3T2zLUj	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:28:56	b9f696b68095996a7646e86298f13d18:u37bbs4ZQSWPh402UY5DK9z3k71EtlG3	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:29:08	6ba72ad0dcb15b20fe575276b7be3c58:MqE28ZuahKLxiw27PIEzjJeRyllkSlpQ	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:29:24	3c239fd5c334e25d051d588413212164:8egHNeEZyIsODCr9UTr8bhNeppflGKLR	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:29:46	5acdf9d147c7960461f7006567b1f7f8:J14AL4zIvUJji3aepkVveXRgrYbj0g1f	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:29:53	8be14a805be2cb10df2ae9c2684160b2:XfaxylVaI0d5JDhcp93PAzoAQILK5UEB	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:30:01	87e717beef3166c8ceb1f11a638f3eee:VwjFI09B93fpwPPOdg7LMWa3OPkU4Nig	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:30:08	4391c0f4a94acc5a0872444ddcd6c7d4:6wZV2yFfZMkWO97YCDY0sE0YqbWMiRad	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:30:19	6607b84f50f9da85e0cc6a704ed005a4:S8iiQtNU8fz1IIKuLZ8ygelSwCq553CI	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:30:35	f5fde4c7d3a3226cf22fd22b5c8cfd4b:XmZ84xrGU5n7jW4pP5QbgoamjSDFcUZI	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:30:46	a75ea4fc12871d2347b1bba760306b23:dj35PQptqdXgxhTxOUbUTAnjSn2lIJf9	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:30:53	ea774a918f1317634b7256f33341819e:NRTjDiN5Q6mdqwMknxG6fRvcNYzV6BG4	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:31:02	b77cf96916492f4bdd0278721f82d30f:j0PAd0vUt2nUvjcl8m4xKPvEC2V3lsL4	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:31:16	67f2f518ba20234a7e3f17d4b510bb1f:0Y3NZFr1YTzwWY5gYjOSlITagr5VCnp1	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:32:09	5b170c16e047f7c989a2183dfdb3438d:qvVPVqf5EXMedFdmY8M58NexfnEg0vh7	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
