2018-04-27 00:23:23	c07a94dae5c758d6ee42e76f166bb52e:9XKWX5Nu5LflFbzEtkmQfzgTP9D4dNKs	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	49.217.246.178
2018-04-27 00:23:38	ba2340bfc65a23c5b38fbb62199cc4ca:UNfjbDsIm6jSg3YtrKlH0p2f1RIN9qxv	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-27 00:24:17	5365de72be07d30051bb4a2f74ad6b1c:krHtTdgxIJbui6mjIjncBppfIj8oY7Pj	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	49.217.246.178
2018-04-27 00:24:21	7679f684d60e6d1411f866b0ad60a7c8:4udcJsqWDzj5JtHu3A36K1WZiUbeioQL	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-27 00:25:04	bb5e922a5b81d4ee79daa67d12eba2c5:taqZIU1bsoCBcJVdslzmzRuoGGQ9nqWS	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-27 00:25:07	ce70123af2e0adcef99212dc10e397d2:QhcDqzEJLWbouEGCzr37t0eebiK61Xuy	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	49.217.246.178
2018-04-27 00:25:38	da50f94e67bf31fc5505b25cd5be5ce9:4oUYoj2PSpvsbpATGIGqQC2Z7BVsGjJP	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-27 00:26:12	04ebdee1f1fdd3a6945efd533e9e4de4:3LkN4Ng9BLCSvwuT8m9DQmTG9X9enQru	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	49.217.246.178
2018-04-27 00:26:18	3fb9c2bf0b38e738c8a96db4512cfff6:bfQO9eglwVwgGpZRh9RYdcBUHtVlG5PS	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-27 00:26:23	feb55e6e27d5a9814c4c7720728e3d09:EHexsA3C6vtRWwCEWnom1GRCYkl3wpny	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	114.137.87.104
2018-04-27 00:26:56	159116dbe2f31747b5e5c7215330e8be:CIBh5DZvXPsB34rFUlM1aZ317s18beWl	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	115.43.149.128
2018-04-27 00:26:57	33b4e65ec250a275f157707822bbc105:v6NGQkoYJLVTMX5ZseAL2Vf1PBl2NUUL	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-27 00:27:07	02d4236bd21f75c6607e655b399c2be6:Wg4EHVQuqBqE4WrKcGg1URiH3mg7hqZb	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	49.217.246.178
2018-04-27 00:27:30	bd02ca8b69224e7744fe5db9538839ba:5vwyY47bMsEDGzcoAB5wCwbPLJTawO2M	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	114.137.87.104
2018-04-27 00:27:42	403e462f174151e9657eb3279eb7fea0:hFMfIHhw3mcRy6Df0DULFZu5cedSd2YT	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-27 00:28:05	5b545e7899d5d3948b10add0a0320f3a:wBl9k517Q7xj7pwr3Qokx2UMfYgYNfiK	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	49.217.246.178
2018-04-27 00:28:22	fc32da6b6346df9e00ba36b0d83cc874:gtvbHIS4CQfFkwf8ZdraeXhj8pFP4LmE	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	114.137.87.104
2018-04-27 00:28:22	8194711a71c34220b2c25b09c8a21414:Qq8svOtWqu9xr2rkw77n2mq2Tfg7kCOO	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-27 00:28:57	9949d8afc2f624f9896476ffeb2d184f:RmkwRLHK8sYkAP9SSH3pAl930nyl5LBe	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	115.43.149.128
2018-04-27 00:29:02	ce608bcfb231150ff3e8628b91df4586:SaG1P3ETxioKiBlgzvfehMST89as750z	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	49.217.246.178
2018-04-27 00:29:09	c3ef6d02b4311c4cebb8d457c61893f3:GXhGCmG1TmKBgivRi55GY5JWJzz7qvZo	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-27 00:29:11	82d810117bf863cba4c9d998f31c7094:RxGCdrN7vYZDh1K6twhITHCza70tlfME	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	114.137.87.104
2018-04-27 00:29:54	07c78581c651886f064428c70b53085e:Rz1NldGyvwZViMQua9HKm4xJvUgUN88b	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	114.137.87.104
2018-04-27 00:29:53	8c38f0e08fec0d3a4cbe712cb87b327c:YctumlHxH8yrVZmrsxSTbKHgj6qXRVs3	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-27 00:29:56	bbcf54bc1c6141d4c8c5ac5568be7b78:1Onxv8PXEdWCdJGBcs4Ua0uNWOKHuOz6	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	49.217.246.178
