2018-04-21 05:03:28	20fdea597c5861f963cdba7e5ff52e54:YdsGjguT8cwU9vAYuy6kCcH6wSCsPKKS	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:03:54	24ee0fbbc03006295cf056929aa960bd:WRyOUbSLR5dOBEQvz2clzsrOoxDIBFhr	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:04:02	0724ad05905775e501ddab9be45cf084:5J69bUCWYzmP3ib2ycJTAwG3lroLwY1V	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:04:20	d74f5b511524d2c6f3733635d46b3be5:d97hePAsLIDGgmiLsImXzxUWhoLCZvvr	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:04:39	6ff5c112a044093a59d4d84897dcb3cf:Z00NW2U7hxGk17HFAyWRnOligEPrBOvT	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:04:49	608d57e956aebe63fd82e15d930db3fb:mofQoUVdtM2LK3wn2wx0ktyGLivm2Ekv	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:04:57	4ba02195beee063a04fdfe1fe039ab08:xXJ0h5Vl9OdNtGzzkSWh7R6GNRvCfpEb	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:05:06	300866eb3ae7e8dcff428e456b400280:1EGAAFcHLyEdhMlIRRRQoxuAH21gJWMN	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:05:23	4ab9c59cac68fca8bb2299720ce929f3:UkhOUGSIcR3AcAJ90bL9pPgN1Ou9QjnS	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:05:41	afb77e1ed2c25fa5110773e15968896f:7Z2FGXSxPzIVqOaO6cwkYxOfqm8QivTw	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:05:49	14e9a48388aa594b906ecfd9af1cacb1:AVxkwQ7UBrjBHg95seyadEMxMmSMwCPQ	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:06:30	6f287089cf4a999ee3ad0bf27d960019:m6hQR1jsDo8VzT7XPk0jV4WssyvPjaxF	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:06:39	2638e92bb3d61fb6321c9022d8783228:PFGRP0KRV9Lj8NPMxrDE8cghZhgtYZh6	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:06:47	ac83edbce326ca37fabb100353e1c367:lHKPg8ZoGrSTV0CG4Fd7LyylmJeiUa7o	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:06:56	93c27c14ebf687db379e4298e8db068d:HyakeEhSo0sc63wGONCDRGt2IEQRNqET	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:07:05	906acc2b36510eac5faf3a5bd8ef9621:ZjGGnvbGxyKdaA992csZcgvBRfYWzcBw	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:07:13	359f69726ddf8edc19a19b6cc415b2b8:yH6PosB7MNz5IQ5tEstTJa1gHdigx9Gh	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:07:20	2252a7200175b81511e0fffbfb7c5e14:rvlns6u1VrgeViTn8q44tHmLg5XYTIN9	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:08:35	ec180e3d1b0ccb77cb6881f460bd92c1:RzFuMlO5RnpjcLDRmpNsTp0EVCMC2sX5	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:08:45	21f49e57fa79f321f65a457717dd167a:zuWTWfHU4cUJjA7jvvZ6ElzGRZDuC6ZW	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:08:55	f7189318935f1ac6f13787d27a98de45:MQt2TwVMMhKBppw5HZOquesOel8X7MnX	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:09:38	e89d8ce532f533cddf858e17b94bee3a:4qx2Jryfw5aKX3wpDyCSkLILzGHKsELc	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:09:50	643d80888aec9fbb7bd8c2efdcc1a78f:Zgcp9a1avUct5yPtaB39Sutp0l3H5XDa	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:09:59	2a921cac901a32d15402fa370da88e04:ZxxcpQWOhMUgsH5Zp9ybz7K9M5PzzNSO	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
